# Time-averaged data for fix AVE_TD_cummul
# TimeStep c_thermo2_temp c_thermo_press v_varCell v_varVolume c_thermo_pe v_varDensity v_varKE
0       300.00000000     -4138.78784908        12.41709928      1914.52243688    -30056.19357566         0.99976057         7.40660631
4       305.58262041     -3409.42618434        12.41709928      1914.52243688    -30056.33241868         0.99976057         7.54443388
8       312.26056836      -623.09650101        12.41709928      1914.52243688    -30056.49536942         0.99976057         7.70930365
12       311.83849016      1595.60409686        12.41709928      1914.52243688    -30056.48991999         0.99976057         7.69888309
16       312.52334100      1765.71654256        12.41709928      1914.52243688    -30056.50889163         0.99976057         7.71579116
20       311.44109414      1026.37960060        12.41709928      1914.52243688    -30056.48574236         0.99976057         7.68907191
24       314.08038172       773.94118430        12.41709928      1914.52243688    -30056.55592937         0.99976057         7.75423246
28       316.09937369      1345.59364539        12.41709928      1914.52243688    -30056.61211160         0.99976057         7.80407872
32       316.42591793      1969.03072773        12.41709928      1914.52243688    -30056.62368490         0.99976057         7.81214067
36       316.39374907      2073.10347720        12.41709928      1914.52243688    -30056.62702721         0.99976057         7.81134646
40       314.86945885      1936.61287545        12.41709928      1914.52243688    -30056.59254266         0.99976057         7.77371373
44       315.79879523      1820.70911715        12.41709928      1914.52243688    -30056.61912234         0.99976057         7.79665783
48       315.51069745      1940.95900623        12.41709928      1914.52243688    -30056.61121510         0.99976057         7.78954507
52       315.74834593      2148.57948585        12.41709928      1914.52243688    -30056.61427736         0.99976057         7.79541230
56       314.76204715      2419.83317354        12.41709928      1914.52243688    -30056.58367507         0.99976057         7.77106188
60       313.99858486      2541.82395648        12.41709928      1914.52243688    -30056.56454429         0.99976057         7.75221300
64       313.43843295      2549.94122051        12.41709928      1914.52243688    -30056.55078396         0.99976057         7.73838358
68       312.69438167      2577.91455817        12.41709928      1914.52243688    -30056.53068366         0.99976057         7.72001393
72       312.79680618      2739.76653005        12.41709928      1914.52243688    -30056.53084836         0.99976057         7.72254266
76       311.84119328      3050.73103284        12.41709928      1914.52243688    -30056.50395545         0.99976057         7.69894983
80       312.45136551      3185.09655729        12.41709928      1914.52243688    -30056.51725831         0.99976057         7.71401418
84       312.12348193      3180.14128323        12.41709928      1914.52243688    -30056.50550231         0.99976057         7.70591917
88       312.66670848      3089.72398190        12.41709928      1914.52243688    -30056.51715212         0.99976057         7.71933072
92       312.60423517      3158.29821408        12.41709928      1914.52243688    -30056.51472650         0.99976057         7.71778833
96       312.44810047      3384.78314239        12.41709928      1914.52243688    -30056.50966598         0.99976057         7.71393357
100       312.76492674      3549.20282678        12.41709928      1914.52243688    -30056.51575807         0.99976057         7.72175560
