# Time-averaged data for fix AVE_TD_frames
# TimeStep c_thermo2_temp c_thermo_press v_varCell v_varVolume c_thermo_pe v_varDensity v_varKE
0       300.00000000     -4138.78784908        12.41709928      1914.52243688    -30056.19357566         0.99976057         7.40660631
4       311.16524083     -2680.06451961        12.41709928      1914.52243688    -30056.47126171         0.99976057         7.68226145
8       325.61646425      4949.56286565        12.41709928      1914.52243688    -30056.82127091         0.99976057         8.03904319
12       310.57225556      8251.70589047        12.41709928      1914.52243688    -30056.47357167         0.99976057         7.66762142
16       315.26274434      2446.16632537        12.41709928      1914.52243688    -30056.58477821         0.99976057         7.78342344
20       306.02985986     -2670.30510920        12.41709928      1914.52243688    -30056.36999600         0.99976057         7.55547564
24       329.91610723      -740.68931350        12.41709928      1914.52243688    -30056.97705145         0.99976057         8.14519574
28       330.23231748      5347.16087299        12.41709928      1914.52243688    -30057.00538720         0.99976057         8.15300255
32       319.03827184      6956.52738646        12.41709928      1914.52243688    -30056.71627126         0.99976057         7.87663626
36       316.10422936      3009.75822239        12.41709928      1914.52243688    -30056.65710801         0.99976057         7.80419860
40       299.62655663       571.70685802        12.41709928      1914.52243688    -30056.24769724         0.99976057         7.39738648
44       326.02149543       545.76777585        12.41709928      1914.52243688    -30056.91149878         0.99976057         8.04904288
48       312.05352407      3383.95767518        12.41709928      1914.52243688    -30056.51632821         0.99976057         7.70419200
52       318.83777616      4847.64572096        12.41709928      1914.52243688    -30056.65408679         0.99976057         7.87168628
56       300.95386418      6217.38480112        12.41709928      1914.52243688    -30056.15524301         0.99976057         7.43015596
60       302.54665055      4371.68570058        12.41709928      1914.52243688    -30056.27758257         0.99976057         7.46947977
64       304.47600246      2679.81744499        12.41709928      1914.52243688    -30056.33061863         0.99976057         7.51711294
68       300.04550980      3053.46129832        12.41709928      1914.52243688    -30056.18897854         0.99976057         7.40772989
72       314.64044730      5653.10202396        12.41709928      1914.52243688    -30056.53381309         0.99976057         7.76805974
76       293.68454828      8959.05658581        12.41709928      1914.52243688    -30055.99299010         0.99976057         7.25068609
80       324.65481006      5872.40704624        12.41709928      1914.52243688    -30056.78331554         0.99976057         8.01530121
84       305.23792686      3076.08052809        12.41709928      1914.52243688    -30056.25862616         0.99976057         7.53592385
88       324.61769245      1100.54335252        12.41709928      1914.52243688    -30056.77344795         0.99976057         8.01438483
92       311.16734900      4735.50555430        12.41709928      1914.52243688    -30056.45893722         0.99976057         7.68231350
96       308.70086788      8820.42142176        12.41709928      1914.52243688    -30056.38821364         0.99976057         7.62141932
100       320.68558341      7659.69493668        12.41709928      1914.52243688    -30056.66806023         0.99976057         7.91730622
